cache_type,seq_len,batch,block_size,status,ttft_ms,tpot_ms,throughput,throughput_cv,peak_memory_mb,cache_memory_mb,frag_ratio,alloc_basis,dtype,attn_impl,commit
contiguous,128,1,N/A,ok,4.618,3.809,239.3,15.46,161.27,2.94,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,128,4,N/A,ok,3.645,4.37,894.9,15.44,174.75,11.75,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,128,8,N/A,ok,4.929,3.467,2014.1,16.99,191.13,23.5,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,128,16,N/A,ok,5.142,4.289,3499.7,14.26,226.03,47.0,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,256,1,N/A,ok,2.974,2.959,274.3,7.08,163.39,4.94,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,256,4,N/A,ok,5.304,4.358,856.7,18.0,187.97,19.75,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,256,8,N/A,ok,4.881,4.284,1757.7,17.18,218.4,39.5,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,256,16,N/A,ok,6.701,3.577,3853.8,12.72,279.02,79.0,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,512,1,N/A,ok,5.422,4.716,199.4,15.49,171.31,8.94,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,512,4,N/A,ok,3.92,2.915,1031.5,10.77,215.12,35.75,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,512,8,N/A,ok,6.825,4.597,1768.0,15.82,271.51,71.5,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,512,16,N/A,ok,12.888,3.816,3718.3,16.67,388.5,143.0,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,1024,1,N/A,ok,4.194,3.387,262.4,17.28,186.14,16.94,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,1024,4,N/A,ok,7.59,3.107,1009.2,14.43,269.28,67.75,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,1024,8,N/A,ok,14.469,3.421,1954.4,13.96,381.36,135.5,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,1024,16,N/A,ok,29.046,4.942,2916.9,18.42,606.45,271.0,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,2048,1,N/A,ok,5.248,2.931,268.1,7.72,213.35,32.94,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,2048,4,N/A,ok,17.494,4.894,733.3,18.07,378.38,131.75,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,2048,8,N/A,ok,36.162,7.065,941.6,42.59,598.7,263.5,0.0,reservation,float16,sdpa,fb29cd5-dirty
contiguous,2048,16,N/A,ok,69.255,6.898,1832.3,5.3,1038.89,527.0,0.0,reservation,float16,sdpa,fb29cd5-dirty
paged,128,1,16,ok,13.787,10.672,84.3,9.9,161.06,3.0,0.0208,pages_held,float16,sdpa,fb29cd5-dirty
paged,128,4,16,ok,12.261,11.209,321.5,7.16,174.5,12.0,0.0208,pages_held,float16,sdpa,fb29cd5-dirty
paged,128,8,16,ok,13.174,10.754,645.1,5.26,191.51,24.0,0.0208,pages_held,float16,sdpa,fb29cd5-dirty
paged,128,16,16,ok,10.38,10.622,1316.2,4.24,227.91,48.0,0.0208,pages_held,float16,sdpa,fb29cd5-dirty
paged,256,1,16,ok,9.733,8.906,105.9,4.35,163.45,5.0,0.0125,pages_held,float16,sdpa,fb29cd5-dirty
paged,256,4,16,ok,10.908,10.292,374.2,4.76,189.63,20.0,0.0125,pages_held,float16,sdpa,fb29cd5-dirty
paged,256,8,16,ok,10.821,10.791,635.0,2.67,218.65,40.0,0.0125,pages_held,float16,sdpa,fb29cd5-dirty
paged,256,16,16,ok,10.781,10.524,1333.0,3.63,280.69,80.0,0.0125,pages_held,float16,sdpa,fb29cd5-dirty
paged,512,1,16,ok,10.519,9.222,91.5,4.28,171.38,9.0,0.0069,pages_held,float16,sdpa,fb29cd5-dirty
paged,512,4,16,ok,10.925,10.551,340.2,7.93,215.36,36.0,0.0069,pages_held,float16,sdpa,fb29cd5-dirty
paged,512,8,16,ok,10.825,10.377,738.5,18.19,272.94,72.0,0.0069,pages_held,float16,sdpa,fb29cd5-dirty
paged,512,16,16,ok,15.308,10.73,1259.9,8.33,388.08,144.0,0.0069,pages_held,float16,sdpa,fb29cd5-dirty
paged,1024,1,16,ok,10.249,9.388,90.0,5.24,186.71,17.0,0.0037,pages_held,float16,sdpa,fb29cd5-dirty
paged,1024,4,16,ok,10.542,10.434,329.3,5.15,270.72,68.0,0.0037,pages_held,float16,sdpa,fb29cd5-dirty
paged,1024,8,16,ok,16.458,10.409,668.8,5.19,382.32,136.0,0.0037,pages_held,float16,sdpa,fb29cd5-dirty
paged,1024,16,16,ok,31.805,10.26,1388.0,3.72,606.45,272.0,0.0037,pages_held,float16,sdpa,fb29cd5-dirty
paged,2048,1,16,ok,9.552,9.029,99.6,5.89,213.41,33.0,0.0019,pages_held,float16,sdpa,fb29cd5-dirty
paged,2048,4,16,ok,19.069,10.066,351.5,4.13,378.51,132.0,0.0019,pages_held,float16,sdpa,fb29cd5-dirty
paged,2048,8,16,ok,37.107,9.809,726.6,22.5,598.64,264.0,0.0019,pages_held,float16,sdpa,fb29cd5-dirty
paged,2048,16,16,ok,76.957,11.024,1206.2,10.32,1038.9,528.0,0.0019,pages_held,float16,sdpa,fb29cd5-dirty
