cache_type,seq_len,batch,block_size,ttft_ms,tpot_ms,throughput,memory_mb,frag_ratio
contiguous,128,1,N/A,4.502,3.584,267.7,147.63,0.0
contiguous,128,4,N/A,6.361,2.789,1359.7,226.45,0.0
contiguous,128,8,N/A,6.164,3.068,2448.0,332.21,0.0
contiguous,128,16,N/A,10.082,4.053,3733.9,541.7,0.0
contiguous,256,1,N/A,3.968,2.091,453.4,174.48,0.0
contiguous,256,4,N/A,7.931,3.66,1038.7,331.43,0.0
contiguous,256,8,N/A,12.017,4.771,1588.2,539.43,0.0
contiguous,256,16,N/A,17.161,5.098,2945.0,955.89,0.0
contiguous,512,1,N/A,3.889,2.148,443.5,225.4,0.0
contiguous,512,4,N/A,8.817,2.721,1373.4,536.38,0.0
contiguous,512,8,N/A,17.016,3.278,2215.1,951.75,0.0
contiguous,512,16,N/A,27.494,5.323,2728.2,1780.78,0.0
contiguous,1024,1,N/A,7.806,3.075,307.1,329.77,0.0
contiguous,1024,4,N/A,18.792,2.81,1263.4,950.35,0.0
contiguous,1024,8,N/A,30.541,3.337,2033.9,1777.13,0.0
contiguous,1024,16,N/A,62.609,4.254,2960.0,3432.7,0.0
contiguous,2048,1,N/A,14.95,4.022,229.6,536.57,0.0
contiguous,2048,4,N/A,42.421,2.936,1079.2,1776.16,0.0
contiguous,2048,8,N/A,82.026,3.481,1635.7,3429.91,0.0
contiguous,2048,16,N/A,779.954,4.693,900.6,6735.36,0.0
paged,128,1,16,4.303,2.911,325.5,147.92,0.25
paged,128,4,16,7.859,3.376,1121.8,227.6,0.25
paged,128,8,16,12.729,3.927,1904.6,334.52,0.25
paged,128,16,16,33.001,7.826,1939.7,546.32,0.25
paged,256,1,16,9.634,3.493,268.6,175.26,0.25
paged,256,4,16,15.012,3.388,1066.2,334.46,0.25
paged,256,8,16,20.923,3.897,1845.2,545.31,0.25
paged,256,16,16,60.18,8.782,1624.6,967.92,0.25
paged,512,1,16,10.456,3.747,250.6,227.19,0.25
paged,512,4,16,23.539,3.082,1134.2,544.5,0.25
paged,512,8,16,42.648,3.857,1730.0,966.06,0.25
paged,512,16,16,84.592,7.996,1675.3,1808.0,0.25
paged,1024,1,16,14.043,3.127,291.7,334.37,0.25
paged,1024,4,16,50.149,2.82,1064.5,971.77,0.25
paged,1024,8,16,89.278,3.921,1463.9,1813.62,0.25
paged,1024,16,16,215.265,9.39,1221.8,3501.96,0.25
paged,2048,1,16,31.804,2.673,307.3,543.44,0.25
paged,2048,4,16,89.47,2.934,887.2,1808.7,0.25
paged,2048,8,16,181.784,4.071,1084.1,3492.78,0.25
paged,2048,16,16,996.217,6.497,691.2,6859.88,0.25
