cache_type,seq_len,batch,block_size,status,ttft_ms,tpot_ms,throughput,throughput_cv,peak_memory_mb,cache_memory_mb,frag_ratio
paged,100,1,8,ok,8.388,6.163,157.1,22.73,160.1,2.5,0.0
paged,100,8,8,ok,9.237,6.54,1102.0,19.43,187.2,20.0,0.0
paged,100,16,8,ok,8.893,7.498,2131.6,18.3,215.14,40.0,0.0
paged,300,1,8,ok,7.81,6.301,150.9,25.08,166.22,5.62,0.0
paged,300,8,8,ok,5.865,4.9,1409.9,13.65,228.42,45.0,0.0
paged,300,16,8,ok,8.667,4.484,3077.3,15.84,300.43,90.0,0.0
paged,600,1,8,ok,4.553,3.889,214.2,14.65,173.9,10.38,0.006
paged,600,8,8,ok,9.378,5.171,1346.9,16.28,293.62,83.0,0.006
paged,600,16,8,ok,17.403,4.8,2759.8,11.7,429.99,166.0,0.006
paged,1100,1,8,ok,4.36,3.888,228.3,13.28,189.26,18.12,0.0
paged,1100,8,8,ok,17.19,4.666,1452.4,5.85,399.27,145.0,0.0
paged,1100,16,8,ok,34.284,5.833,2238.9,9.53,641.61,290.0,0.0
paged,2000,1,8,ok,6.082,3.826,216.2,16.9,212.54,32.25,0.0019
paged,2000,8,8,ok,36.352,6.024,1154.1,11.22,591.51,258.0,0.0019
paged,2000,16,8,ok,74.797,9.06,1504.3,2.25,1022.86,516.0,0.0019
paged,100,1,16,ok,4.346,3.683,238.2,16.38,160.35,2.5,0.0
paged,100,8,16,ok,4.732,4.242,1755.5,15.42,185.95,20.0,0.0
paged,100,16,16,ok,5.692,4.338,2976.1,16.95,215.14,40.0,0.0
paged,300,1,16,ok,4.077,3.659,241.1,16.42,166.34,5.75,0.0217
paged,300,8,16,ok,5.238,4.331,1645.7,9.61,231.31,46.0,0.0217
paged,300,16,16,ok,8.626,4.48,2925.6,16.36,301.05,92.0,0.0217
paged,600,1,16,ok,5.267,3.942,212.8,18.59,173.97,10.5,0.0179
paged,600,8,16,ok,9.156,4.287,1691.3,8.85,294.03,84.0,0.0179
paged,600,16,16,ok,17.503,4.574,2843.1,14.69,429.99,168.0,0.0179
paged,1100,1,16,ok,4.275,3.722,222.4,17.81,189.15,18.25,0.0068
paged,1100,8,16,ok,17.314,4.498,1541.9,4.64,402.27,146.0,0.0068
paged,1100,16,16,ok,33.917,5.741,2312.7,10.23,641.97,292.0,0.0068
paged,2000,1,16,ok,6.096,3.745,218.3,15.62,212.54,32.25,0.0019
paged,2000,8,16,ok,36.412,5.964,1126.0,11.12,591.5,258.0,0.0019
paged,2000,16,16,ok,74.051,9.061,1522.2,1.45,1022.84,516.0,0.0019
paged,100,1,32,ok,5.048,3.762,216.2,16.41,160.35,2.5,0.0
paged,100,8,32,ok,4.694,4.326,1574.5,11.79,185.95,20.0,0.0
paged,100,16,32,ok,4.771,4.251,3453.1,15.44,215.13,40.0,0.0
paged,300,1,32,ok,5.07,4.413,192.4,14.45,166.59,6.0,0.0625
paged,300,8,32,ok,5.269,4.341,1651.9,14.57,231.06,48.0,0.0625
paged,300,16,32,ok,8.576,4.254,3329.3,14.67,304.93,96.0,0.0625
paged,600,1,32,ok,4.326,4.264,205.0,16.4,173.97,10.5,0.0179
paged,600,8,32,ok,9.17,4.21,1735.0,5.32,294.03,84.0,0.0179
paged,600,16,32,ok,17.451,4.477,3126.0,4.13,429.99,168.0,0.0179
paged,1100,1,32,ok,4.65,3.77,217.3,11.89,189.27,18.5,0.0203
paged,1100,8,32,ok,17.205,4.483,1567.5,15.08,402.27,148.0,0.0203
paged,1100,16,32,ok,34.139,5.748,2311.0,5.17,645.97,296.0,0.0203
paged,2000,1,32,ok,6.144,3.682,230.8,11.73,212.6,32.5,0.0096
paged,2000,8,32,ok,36.148,6.075,1131.9,5.77,591.57,260.0,0.0096
paged,2000,16,32,ok,74.77,9.095,1520.9,1.34,1026.84,520.0,0.0096
paged,100,1,64,ok,5.43,4.329,198.6,14.56,160.73,3.0,0.1667
paged,100,8,64,ok,4.592,4.303,1621.0,10.69,189.07,24.0,0.1667
paged,100,16,64,ok,4.73,4.217,3421.5,12.26,223.1,48.0,0.1667
paged,300,1,64,ok,4.951,4.781,187.2,17.07,166.59,6.0,0.0625
paged,300,8,64,ok,5.24,4.271,1657.4,20.61,233.75,48.0,0.0625
paged,300,16,64,ok,8.592,4.263,3363.8,14.21,305.22,96.0,0.0625
paged,600,1,64,ok,6.018,5.737,171.8,24.68,174.9,11.0,0.0625
paged,600,8,64,ok,9.181,4.257,1611.7,15.85,296.81,88.0,0.0625
paged,600,16,64,ok,17.469,4.489,3114.0,9.11,437.99,176.0,0.0625
paged,1100,1,64,ok,4.981,3.699,226.0,19.51,190.01,19.0,0.0461
paged,1100,8,64,ok,17.271,4.557,1437.6,9.48,405.81,152.0,0.0461
paged,1100,16,64,ok,34.545,5.745,2378.1,8.54,653.97,304.0,0.0461
paged,2000,1,64,ok,6.023,3.623,244.7,12.28,212.99,33.0,0.0246
paged,2000,8,64,ok,36.404,5.688,1181.3,9.87,596.16,264.0,0.0246
paged,2000,16,64,ok,75.232,9.162,1511.7,1.8,1034.83,528.0,0.0246
