cache_type,seq_len,batch,block_size,status,ttft_ms,tpot_ms,throughput,throughput_cv,peak_memory_mb,cache_memory_mb,frag_ratio
paged_fp16,512,1,16,ok,15.082,5.173,156.2,13.1,217.01,9.0,0.25
paged_fp16,512,8,16,ok,106.139,20.094,373.7,12.83,639.47,72.0,0.25
paged_fp16,512,16,16,ok,199.172,37.75,401.5,12.91,1118.91,144.0,0.25
paged_fp16,512,32,16,ok,361.598,55.682,484.6,10.3,2081.32,288.0,0.25
paged_fp16,1024,1,16,ok,34.52,8.814,112.2,15.88,277.99,17.0,0.25
paged_fp16,1024,8,16,ok,194.031,22.303,327.6,11.41,1112.77,136.0,0.25
paged_fp16,1024,16,16,ok,394.434,34.797,377.9,9.2,2066.41,272.0,0.25
paged_fp16,1024,32,16,ok,782.263,64.3,417.1,9.09,3975.95,544.0,0.25
paged_fp16,2048,1,16,ok,55.618,7.382,119.4,16.99,395.56,33.0,0.25
paged_fp16,2048,8,16,ok,424.119,21.258,279.5,13.52,2057.72,264.0,0.25
paged_fp16,2048,16,16,ok,802.409,33.793,324.1,11.72,3958.11,528.0,0.25
paged_fp16,2048,32,16,ok,2444.068,70.448,286.3,7.05,7757.71,1056.0,0.25
paged_fp16,4096,1,16,ok,109.005,4.833,129.3,14.68,796.84,65.0,0.25
paged_fp16,4096,8,16,ok,1030.433,22.845,198.5,9.45,5032.04,520.0,0.25
paged_fp16,4096,16,16,ok,8353.786,70.6,73.5,39.23,9872.54,1040.0,0.25
paged_fp16,4096,32,16,slow,,,,,,2080.0,0.25
paged_fp16,8192,1,16,ok,331.515,9.93,64.6,8.66,2524.76,129.0,0.25
paged_fp16,8192,8,16,slow,,,,,,1032.0,0.25
paged_fp16,8192,16,16,oom,,,,,,2064.0,0.25
paged_fp16,8192,32,16,oom,,,,,,4128.0,0.25
paged_int8,512,1,16,ok,39.105,13.972,70.8,13.35,211.76,4.64,0.25
paged_int8,512,8,16,ok,210.297,57.459,134.5,11.99,603.18,37.12,0.25
paged_int8,512,16,16,ok,376.029,94.17,161.2,9.11,1048.8,74.25,0.25
paged_int8,512,32,16,ok,799.805,219.495,142.2,6.81,1940.9,148.5,0.25
paged_int8,1024,1,16,ok,51.57,12.526,82.1,18.05,268.61,8.77,0.25
paged_int8,1024,8,16,ok,432.797,58.982,125.0,10.99,1047.02,70.12,0.25
paged_int8,1024,16,16,ok,745.708,113.513,134.0,7.97,1935.88,140.25,0.25
paged_int8,1024,32,16,ok,1460.687,218.526,135.1,4.79,3711.96,280.5,0.25
paged_int8,2048,1,16,ok,90.705,13.624,70.9,17.83,380.22,17.02,0.25
paged_int8,2048,8,16,ok,832.133,71.155,101.7,18.77,1929.4,136.12,0.25
paged_int8,2048,16,16,ok,1350.945,100.752,125.3,9.55,3702.63,272.25,0.25
paged_int8,2048,32,16,ok,4143.716,238.366,109.4,4.03,7245.96,544.5,0.25
paged_int8,4096,1,16,ok,204.262,15.041,55.4,15.69,765.69,33.52,0.25
paged_int8,4096,8,16,ok,1828.061,59.006,87.2,9.55,4780.17,268.12,0.25
paged_int8,4096,16,16,ok,6144.016,128.846,70.7,3.2,9368.92,536.25,0.25
paged_int8,4096,32,16,slow,,,,,,1072.5,0.25
paged_int8,8192,1,16,ok,499.314,12.192,46.0,15.42,2462.83,66.52,0.25
paged_int8,8192,8,16,slow,,,,,,532.12,0.25
paged_int8,8192,16,16,oom,,,,,,1064.25,0.25
paged_int8,8192,32,16,oom,,,,,,2128.5,0.25
